Age,Gender,Education Level,Job Title,Years of Experience,Salary
32,Male,Bachelors,Software Engineer,5,90000
28,Female,Masters,Data Analyst,3,65000
45,Male,PHD,Senior Manager,15,150000
36,Female,Bachelors,Sales Associate,,10000
52,Male,Masters,Director,20,200000
29,Male,Bachelors,Marketing Analyst,,27000
42,Female,Masters,Product Manager,12,120000
31,Male,Bachelors,Sales Manager,4,80000
26,Female,Bachelors,Marketing Coordinator,,35000
38,Male,PHD,Senior Scientist,10,110000
29,Male,Masters,Software Developer,3,75000
48,Female,Bachelors,HR Manager,18,140000
35,Male,Bachelors,Financial Analyst,6,65000
40,Female,Masters,Project Manager,14,130000
27,Male,Bachelors,Customer Service Rep,2,40000
44,Male,Bachelors,Operations Manager,16,125000
33,Female,Masters,Marketing Manager,7,90000
39,Male,PHD,Senior Engineer,12,115000
25,Female,Bachelors,Data Entry Clerk,,35000
51,Male,Bachelors,Sales Director,22,180000
34,Female,Masters,Business Analyst,5,80000
47,Male,Masters,VP of Operations,19,190000
30,Male,Bachelors,IT Support,2,50000
36,Female,Bachelors,Recruiter,9,60000
41,Male,Masters,Financial Manager,13,140000
28,Female,Bachelors,Social Media Specialist,3,45000
37,Female,Masters,Software Manager,11,110000
24,Male,Bachelors,Junior Developer,1,40000
43,Female,PHD,Senior Consultant,15,140000
33,Male,Masters,Product Designer,6,90000
50,Male,Bachelors,CEO,25,250000
31,Female,Bachelors,Accountant,4,55000
29,Male,Masters,Data Scientist,3,75000
39,Female,Bachelors,Marketing Specialist,10,65000
46,Male,PHD,Senior Manager,20,170000
27,Male,Bachelors,Technical Writer,2,45000
35,Female,Bachelors,HR Generalist,7,60000
42,Male,Masters,Project Engineer,14,115000
26,Female,Bachelors,Customer Success Rep,1,40000
49,Male,Bachelors,Sales Executive,21,160000
34,Female,Masters,UX Designer,5,80000
48,Male,Masters,Operations Director,18,190000
30,Male,Bachelors,Network Engineer,3,60000
36,Female,Bachelors,Administrative Assistant,8,45000
41,Male,Masters,Strategy Consultant,13,130000
28,Female,Bachelors,Copywriter,2,40000
32,Male,Bachelors,Account Manager,5,75000
45,Female,Masters,Director of Marketing,16,180000
38,Male,PHD,Senior Scientist,11,120000
25,Male,Bachelors,Help Desk Analyst,0,35000
51,Female,Bachelors,Customer Service Manager,22,130000
33,Male,Masters,Business Intelligence Analyst,7,85000
40,Female,Bachelors,Event Coordinator,12,60000
47,Male,Masters,VP of Finance,19,200000
29,Female,Bachelors,Graphic Designer,3,50000
36,Male,Bachelors,Sales Manager,9,95000
27,Female,Masters,UX Researcher,2,65000
43,Male,PHD,Senior Engineer,17,140000
30,Female,Bachelors,Social Media Manager,4,55000
35,Male,Masters,Product Manager,7,105000
51,Female,Masters,Director of Operations,23,170000
29,Male,Bachelors,Marketing Analyst,3,50000
40,Female,Bachelors,HR Manager,12,80000
47,Male,PHD,Senior Data Scientist,21,180000
26,Male,Bachelors,Junior Accountant,1,35000
38,Female,Masters,Digital Marketing Manager,10,90000
46,Male,Bachelors,IT Manager,19,120000
31,Female,Bachelors,Customer Service Representative,5,45000
34,Male,Masters,Business Development Manager,8,90000
49,Female,Masters,Senior Financial Analyst,18,150000
33,Male,Bachelors,Web Developer,6,65000
39,Female,Bachelors,Recruiter,11,70000
45,Male,PHD,Research Director,16,190000
